star id,lambda,beta,mu lambda,mu beta,pi,lambda error,beta error,mu lambda error,mu beta error,pi error
26,4.647315129222058,-0.09997977598704316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,4.648686383726109,-0.09985578904535175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,4.649534778713768,-0.10104998362608308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,4.6483037648434316,-0.09988351920843082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,4.649046846636429,-0.10140161264114111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,4.64975098793131,-0.10179422068684957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,4.6478362493116085,-0.09914050475864798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,4.649812162629429,-0.10131668149936572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,4.647263535498317,-0.09941636516719114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,4.647577732691007,-0.10224846916779146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,4.6481256099049535,-0.09982494318513034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,4.650167256847366,-0.10184147917578719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,4.650604853801772,-0.10150393158291107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,4.649494108173182,-0.10053377744911077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,4.650060628888509,-0.09919294062569935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,4.6477136049248156,-0.10173343844428072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,4.6505047257804755,-0.09977417637916045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,4.648761419557461,-0.09977009889603554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,4.647516846690348,-0.10073608046222708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,4.648039449505651,-0.10165518695935684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,4.647215662262884,-0.09968005631601747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,4.649395198811149,-0.09966652745795078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,4.650314584522548,-0.10251606234840863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,4.650527687761609,-0.10014615941452441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,4.647086118884586,-0.10126251431046988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,4.649159905791746,-0.09910759551714428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,4.650021099964366,-0.09955769855401182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,4.648105180957094,-0.10134497225142551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,4.648731970500024,-0.09938085501214672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,4.649858730972825,-0.10051762154811306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,4.650391597654396,-0.10036895737389741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,4.648493703283793,-0.09892845821902176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,4.649406991950001,-0.10192018285107723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,4.648587894208146,-0.1000553962136215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,4.647410842084687,-0.0992696573755421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,4.649954982855641,-0.1011390334911251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
774,4.647697285906822,-0.10035893721927094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,4.647979973107223,-0.09989447315230757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
792,4.650384585269908,-0.10220705417960138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802,4.64804044186457,-0.1010185660075654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,4.648809189189406,-0.10238305003339472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846,4.649003986530001,-0.10167385808395106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,4.650116496936887,-0.10187068167860833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
896,4.647975365599398,-0.099505666527394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,4.649678405749218,-0.10103329881509421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930,4.648257820989507,-0.09991689352534303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,4.649229375590196,-0.09933799092900548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
997,4.647215619022187,-0.10139877715938816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
